"id","titulo","texto"
514,"GUIRIGAY","Dos amigos entran, sin saberlo, en un bar de ambiente y muy mala reputación, oscuro y totalmente atestado de gente... y le dice uno al otro:#- Vaya 'guiri...gay' que hay aquí, no?#A lo que el otro le responde:#- Me parece que hay más... de lo segundo que... de lo primero!!!"
515,"Supervisión","- Mama, ¿puedo coger el coche?#- No sin mi supervisión#- Uy, perdona por no tener superpoderes como tú"
516,"EL rabino","- A mi me han circuncidado#- ¿El rabino?#- No seas cursi, hombre, LA POLLA"
517,"Crítica constructiva","- Ayer asistí a un curso de crítica constructiva#- ¿Y qué tal?#- Fue una mierda"
518,"Sensibilidad alcoholica","Los borrachos son los seres más sensibles que existen: Son los únicos capaces de percibir el movimiento giratorio de la Tierra"
519,"El mayordomo","- Mayordomo#- Si? señor#- Tráigame la infusión de todas las tades#- Té, amo#- Basta ya de fingir, yo también. ¡Béseme canalla!"
520,"A qué piso","Un elefante trabajaba en un elevador cuando llega un ratoncito y se mete al elevador y el elefante le pregunta:#-¿QUE PISO?#y el ratoncito muy angustiado le contesta#-¡MI COLITAAAA!"
521,"Hippies","Que un tartamudo intente decir 'Hippie' y todo el mundo diga 'Hurra'"
522,"Unicornio","Dos amigos en el Bar:#- Hoy al salir del curro he atropellado un unicornio!!#- No jodas!! Tienes curro??"
523,"Frutas y verduras","Me he sacado el carnet de manipulador de alimentos...#Ya tengo a los plátanos y a las patatas totalmente en contra de las zanahorias."
524,"Chúpa!","-Chúpamela#-No#-Que me la chupesss#-Que nooo!!!#-Ya bostezarás, ya...."
525,"Niño que necesita un psicólogo","Un niño que pasa por el dormitorio de sus padres y les ve haciendo un 69 y dice:#- Hijos de puta!! Pues no me quieren llevar al psicólogo por morderme las uñas??"
526,"El pelo de los Yonkis","¿Sabias que los yonkis se lavan el pelo con champú de caballo?"
527,"En un segundo","En un segundo pueden pasar muchas cosas. Lo se porque vivo en un tercero y se oye todo!!"
528,"Fea y...","- Ayer me dijeron que soy fea.#- No te preocupes, a mí me han dicho cosas peores#- ¿Que te han dicho?#- Que también eres bastante puta."
529,"Aeróbic","-Niña, a donde vas con esas mallas?#-Voy a aeróbic#-Joder que coñazo!!#-Si, un rollo#-No, no me has entendido..."
530,"Guarra","Eres tan guarra que te comes los Calipo de rodillas"
531,"Hipotecas","-¿Tu que opinas de las hipotecas?#-A mi me parece cojonudo que los hipopótamos tengan un sitio para bailar"
532,"Verse mejor","-Cariño, te veo mejor!#-Pues estoy más gorda#-Pues eso, que te veo mejor..."
533,"Condon de lana","-Entonces doctor ¿Con este condón de lana se curará mi impotencia?#-No, pero le sudará la polla!"
534,"Bebé feo","Eres tan feo que cuando tus padres te llevaban en coche ponía: Bebé a Mordor"
535,"Kung Fu","¿Por qué mataron a Kung Fu?#Porque lo kunfundieron."
536,"Hola Hola","Un español se encuentra a un chino y dice:#- ¡Hola!#Y el chino dice:#- Las 12:30."
537,"Locos y el tiempo","- ¿Qué hace un loco golpeando un reloj?#- Está matando el tiempo."
538,"Ginecopsiquiatra","Mama!! mama!! tengo que ir al ginecopsiquiatra!!!#¿Al ginecopsiquiatra?#Siiii porque cuando me la meten me vuelvo locaaaa"
539,"Disney hardware","Donald usa teclado y Mickey mouse."
540,"Cabeza de cerdo","Entra una señora a la carnicería y dice:#- Deme esa cabeza de cerdo de allí.#Y contesta el carnicero:#- Perdone señora, pero eso es un espejo."
541,"Entre amigos","Mariano Rajoy: – Luis, tenemos que hablar.#Luis Bárcenas: – ¿Sobre?#Mariano Rajoy: – Si, gracias."
542,"Las fotos del Bar","Entra un hombre en un Bar y ve colgados los cuadros de Franco, el Papa y Rajoy. El hombre antes de pedir una cerveza pregunta:#- ¿Cómo es que tiene a esos artistas ahí colgados?#- Es el menu HUEVOS,CON PAPA Y CHORIZO"
543,"Blanco y negro","- Cuál es el animal más viejo del mundo?#- La cebra, porque todavía está en blanco y negro."
544,"Un pingüino en la ciudad","Un pingüino entra en un bar y se dirige al camarero.#- Perdone, ¿por casualidad ha visto usted a mi hermano?#- No sé, ¿cómo es?#üinos, bares"
545,"Cortado para Bárcenas","- ¡Camarero!#- Dígame Sr Bárcenas#- Un cortado descafeinado#- ¿De sobre?#- .....Como me conoces cabronazo"
546,"Amor verdadero","- Oiga señor, quiero decirle que yo estoy enamorado de su hija y no por el dinero.#- ¿ Y de cuál de las cuatro?#- Ah pues.., de cualquiera, de cualquiera."
547,"Su número de teléfono señorita","- Si tuviera la bondad de darme su número de télefono me gustaría llamarla alguna vez.#- Está en la guía telefónica.#- ¿Y su nombre?#- También"
548,"Nombres para niñas","-¿Cómo se llaman tus niñas?#- La mayor Cuétara y la pequeña Fontaneda,... ¿y la tuya?#- María.#- ¡Huy, si le has puesto nombre de galleta!"
549,"Cosas del trabajo","- José!!, grita el jefe de sección; acaso no sabe que esta prohibido beber durante el trabajo.#- José: No se preocupe jefe, no estoy trabajando."
550,"Jaimito y Rajoy","Le pregunta Mariano Rajoy a Jaimito:#- ¿Así que tu eres el de los cuentos?#- No, Sr. Presidente ... yo soy el de los chistes, el de los cuentos es Ud."
551,"Mar-i-ano","Mariano Rajoy entra en una librería y le pregunta al librero:#- Tiene usted algo de Hemingway ?#- Si, 'El viejo y el mar'#- Hummm... déme 'El mar'."
552,"Uvas","Están tranquilamente charlando dos dos uvas, una verde y una morada:#La uva verde le dice a la morada:#- 'RESPIRAAAAA!!!!'La uva morada le contesta a la verde:#- ' Y TU MADURAAA!!!''"
553,"Borrachos en familia","Dos hombres pasados de copas discuten frente a una casa.#Dice uno:'Yo vivo aquí'.#El otro replica: 'No yo vivo aquí'.#Con tanto alboroto,se enciende la luz de calle y una mujer se asoma y con cara de pocos amigos les dice:#- Que bonito, padre e hijo juntos pasando una bonita noche."
554,"Pedrito y la serpiente","Pedro: 'Mamá, mamá, ¡me pico una serpiente!'Mamá: '¿Cobra?'Pedro: 'No, ¡gratis!'"
555,"En la fiesta","Un hombre se acerca a una mujer y le dice:#- ¿Te gustaría un polvete mágico?#- ¿Qué es un polvete mágico?#- Fácil: echamos unos polvos y después desapareces."
556,"El bombardeo","He perdido a 4 de mis mejores hombres. Cayeron al mar durante el bombardeo. Su honor y valentía les hará memoria.#- Ya Paco. ¿Has tirado de la cadena?"
557,"El colmo del Jardinero","- ¿Cuál es el colmo de un jardinero?#- Que siempre lo dejen plantado."
558,"El colmo de los Vagos","- ¿Cuál es el colmo de ser vago?#- Levantarse dos horas antes, para estar más tiempo sin hacer nada."
559,"Patos","¿Qué pasa si tiras un pato al agua?.#- Nada."
560,"Entendimiento","- Me da la impresión de que vamos a entendernos muy bien.#- ¿Qué?"
561,"Caperucita","Esto es Caperucita Roja que va por el bosque y se le aparece el lobo.#-Caperucita, te voy a dar un beso donde nadie te lo ha dado antes.#-Uy, pues tendra que ser en la cestita."
562,"Tortuguita","Dos amigos de resaca:#-¡No estaba tan borracho!#-¿No? Joder pero si aplastaste mi tortuga y empezaste a gritar: ¡¡Soy Super Mario Bros!!"
563,"Perdida","Mamá, mamá, te tengo dos noticias, una buena y otra mala.#- A ver hijo, dime primero la buena.#- Pues que he dejado la droga.#- Hay que bien hijo, muchas felicidades, y la mala?#- Que no se donde"
564,"Curas contentos","- ¿Tú sabes por qué los curas van tan contentos a su trabajo?#- Porque tienen al jefe crucificado."
565,"Qué es de Pilar?","- Oye Pedro que es de Pilar?#Contesta Pedro:#- Quitar los pelos uno a uno…"
566,"Niñas y mujeres","- ¿En qué se diferencian las mujeres de las niñas?...#- A las niñas las llevas a la cama y les cuentas un cuento, y a las mujeres les cuentas un cuento y luego te las llevas a la cama."
567,"Rubia artificial","- ¿Qué es una rubia teñida de moreno?#- Inteligencia artificial."
568,"Poderes","-¿Por qué se dice que las mujeres tienen un perfecto poder sobrenatural?#-Porque hay algo que pueden levantar sin siquiera tocarlo"
569,"Palmeras","Cual es el árbol mas valiente?#- La palmera porque duerme con el coco"
570,"Elefantes y elefantas","- ¿Cómo encuentra un elefante a una elefanta que está oculta entre los arbustos?#- La encuentra... sumamente atractiva."
571,"Gitanos en el desierto","Van dos gitanos por el desierto, y de repente un trineo rojo con renos atraviesa el cielo y dice uno de los gitanos:#- Mira papanoeee!#y responde su compañero:#- Ni Máma tampocoo aaaii payooo!"
572,"La primera vez","- ¡Camarero! Este filete tiene muchos nervios.#- Normal señora, es que es la primera vez que se lo van a comer."
573,"Gallinas deprimidas","¿Qué le dice una gallina deprimida a otra gallina deprimida?#-Necesitamos A P O L L O"
574,"Bájate de mi moto","- ¿Sabes cómo se dice bájate de mi moto ahora en árabe?#- Baja la Raja de Mi Yamaha"
575,"Rubia en la pizzería","Esto es una rubia que entra en una pizzería y el encargado le pregunta:#-¿Desea que le corte su pizza en 4 o en 8?#- Solo en cuatro, no creo que me vaya a comer 8 pedazos…"
576,"Mayonesa","¿Qué hace una persona con un sobre de mayonesa en la oreja?#Escuchando salsa."
577,"Platillo volador","Dos chicos van caminando por el campo y uno comenta sorprendido al otro:#- Mira, un platillo volante que va a Venus!#- Pues “vamus” rápido a “escondenus”, que “nus” van a ver…"
578,"Niño feo","Era un niño tan feo tan feo, que cuando nació su madre no sabía si coger la placenta o a él."
579,"Colmos de un electricista","¿Cuál es el colmo de un electricista?#- Que no le sigan la corriente.#- ¿Cuál es otro colmo de un electricista?#- Que se enamore de una mujer que va a dar a luz."
580,"El colmo de un músico","- ¿Cual es el colmo de un músico?#- Perder el conocimiento y en lugar de volver en sí volver en do"
581,"El ignorante","-Disculpe... ¿Usted sabe cómo se dice hermano en inglés?#-No brother, ni idea"
582,"La reencarnación","Pepe y su esposa de charla en el salón, su mujer le pregunta:#- ¿Mi amor, a ti en qué animal te gustaría reencarnarte?#- Bueno,nunca lo había pensado, pero me gustaría ser un perro.#- ¡No, no se vale repetir!"
583,"Pollos asandose","Dos pollos metidos en el asador y le dice uno al otro:#- ¡Joder, vaya calor que hace aquí!#Y le contesta el otro:#- ¡La calor es lo de menos, yo lo que no aguanto es el palo metido por el culo!!"
584,"Vacaciones , atontados","Dos tontos que no se habían visto en todo el invierno y le dice uno al otro:#- Amigo, ¿este verano qué?#- Pues tengo ganas de ir a París, como el año pasado.#- ¿El año pasado que fuiste a París?#Y le responde el tonto:#- No, pero también tenía ganas."
585,"Rajoy en el escenario","Se abre el telon y aparece Mariano Rajoy…#se cierra el telon y....desaparece el telon !!!...#y el escenario…#y el teatro...#y la sanidad..."
586,"Gandía Shore","Se abre el telón y aparecen los chicos de Gandia Shore, se cierra el telón, como se llama la película?#¡Fuga de cerebros!"
587,"El vendedor","Un niño entra gritando a un negocio:#- ¡QUIERO GASEOSA, QUIERO GASEOSA!#Y el vendedor responde:#- No me grites, que no soy sordo. ¿Qué GALLETITAS quieres?"
588,"Mujeres y policias","¿En qué se parece una mujer a un policía?#- En que el policía tiene estrella, palo y es del estado; a la mujer le metes el palo, ve las estrellas y cae en estado."
589,"El Facebook","El Facebook es como el refrigerador.#Sabes que no hay nada nuevo nuevo, pero aún así lo abres cada 5 minutos ..."
590,"Pepito con explosivos","Mamá, Mamá, hoy he aprendido a hacer explosivos.#-Qué bien, Pepito. ¿Y mañana qué aprenderéis en la escuela?#-¿Qué escuela?"
591,"Regálale flores","La mujer le dice al marido:#- Oye, Gregorio, ¿Nunca se te ha ocurrido regalarme flores?#- ¿Para qué? Si todavía estás viva."
592,"Insultos matrimoniales","Mientras desayunan, le dice la mujer al marido en tono de reclamo:#- ¿Sabes?, anoche cuando dormías, me estabas insultando.#- ¿Y quién te dijo que dormía?"
593,"Limpieza de la casa","- ¿Qué entiende un hombre por ayudar en la limpieza de la casa?#Levantar los pies cuando su mujer pasa la aspiradora."
594,"Objecto sexual","Mi mujer es un objeto sexual, cada vez que me apetece hacerlo ella objeta."
595,"Potencia sexual adulta","- Doctor, venia a que me bajase la potencia sexual....#- Pero abuelo, si a su edad la potencia sexual solo se tiene en la cabeza....#- Por eso, por eso quiero que me la baje!"
596,"El borracho y la fea","Está un borracho en un fiesta y le dice a una chica:#- Fea!#- Y tu borracho!!#- Ya, pero a mí se me pasa mañana!"
597,"Marineros al barco","Marineros! A abordar el barco!#Y el barco quedó precioso."
598,"Manzanas en el árbol","Hay un montón de manzanas en un árbol y de repente una se cae. Todas las de arriba empiezan a reírse y a burlarse de la que se ha caído y ésta responde:#- No os riáis, ¡Inmaduras!"
599,"Macho Ibérico","- Hijo, que quieres por Navidad#- Una Barbie#- ¿Què? Tu eres un macho, ¡pide algo de hierro!#- Pues una plancha"
600,"Dolor Doctor","- Doctor doctor...¡¡me duele aqui!!#- Pues pongase aqui#- Doctor... esque me sige doliendo!!#- DOLIENDO deja de seguirle!"
601,"El homre mas pequeño del mundo","Era un tan pequeño tan pequeño que se encontro una canica y dijo: el mundo es mio"
602,"Los gatos tienen....","- En que se parece una gata y una escopeta?#- En que los dos tiene gatillos..."
603,"Aparato reproductor","- ¿Quieres ver mi aparato reproductor?#- ¡DEGENERADO!#- Nadie quiere ver mi nuevo MP3..."
604,"Bob Esponja","- ¿Por qué Bob Esponja no necesita ir al gimnasio?#-.....#- Porque está cuadrado!!"
605,"Deporte de espadas","-Me da miedo ese deporte de las espadas.#-¿Esgrima?#-No, no, más bien es miedo."
606,"Chinches","¿Qué le dice una chinche a otra?#Te amo chincheramente"
607,"Libro Guinness","He puesto el libro Guinness de los records en la Thermomix…#HE BATIDO TODOS LOS RECORDS!!"
608,"F1","Me encanta pasar el Domingo viendo la F1… mi mujer dice que soy subnormal por estar toda la mañana mirando el teclado del ordenador..."
609,"Muñecas hinchables","¿Por qué las muñecas hinchables tienen cara de sorprendidas?#Qué esperan ¿una cena con velas?"
610,"Ein? Que dices?","-Estás gorda.#-¡Como una tapia!"
611,"El último de la fila","En la cola del mercado:#-Perdona, ¿El último?#-El Celta con 17 puntos."
612,"Los dedos","-¿Conoces este juego? Mira, tírame del dedo#-Si, lo conozco, pero la lepra no es un juego Juan y ya solo te quedan 3 dedos. Tú sabrás"
613,"El sexo de los aviones","- Papá mira, un avión macho#- Cuantas veces tengo que decirte que eso que cuelgan son las ruedas…."
614,"Cumpleaños Rajoy","Hoy es el cumpleaños de Rajoy.#¡¡¡¡Felicidades ? Por fin cumples algo!!!"
615,"Sistemas anticonceptivos","Maestra: - Pepito, ¿como se llama el compuesto#químico para evitar el embarazo?#Pepito: -Nitrato de meterlo"
616,"Problema de colores","- Doctor, confundo todo el rato los colores con los números.#- Vaya marrón…#- Por el culo te la hinco"
617,"David","- ¿Nombre?#- David#- ¿Tavid?#- No David, con D de Dinamarca#- Bienvenido David, Conde de Dinamarca"
618,"Lectura rápida","Anoche me leí “los pilares de la tierra” en 2 horas. Sé que solo son 5 palabras, pero yo estoy satisfecho."
619,"Cosas malas","- ¿Qué es rojo y malo para los dientes?#- Un ladrillo"
620,"Entre tomates","(Dos tomates en una nevera)#-Que frio hace no?#-Ostias!! Un tomate que habla"
621,"En la rama","-Hola vengo a matricularme en Bachiller#-En qué rama?#-Ya está! como soy negro.. ni mesa, ni silla, ni pollas… el negro al árbol no?"
622,"La tele al revés","¿Para qué los de Lepe ponen la tele al revés?#- Para verle las bragas a la presentadora."
623,"Parecido: lavadora vs mujer","- ¿En que se parece una lavadora de una mujer?#- En que las dos funcionan con un buen polvo"
624,"Muy muy gorda","Eres tan gorda que para ducharte enjabonas las paredes de la ducha y das vueltas."
625,"Helados","Un mongolo que va a una heladería:#-Me pone un helado?#-De qué sabor?#-Da igual, si se me va a caer"
626,"Playmobil en el Bar","Un playmobil que va a un bar:#-Me pone una Fanta?#-De naranja o de limon?#-Da igual, si es para tirarmela por la espalda"
627,"Tener en común","¿Qué tienen en común?:#- Los aniversarios de boda.#- La taza del baño.#- y el punto 'G'.#Que los hombres no aciertan con ninguno."
628,"Papel higienico chino","- Como se dice papel higiénico en chino??#- KITA KAKA"
629,"Spammer","Era un hombre tan malo tan malo tan malo que se envió un e-mail a si mismo y le llegó en la bandeja de 'correo no deseado'"
630,"El hombre y la telenovela","¿En qué se parece un hombre a una telenovela?#- En que cuando el capítulo se empieza a poner interesante.....se acaba."
631,"EL ESPEJO","COMO SE DICE ESPEJO EN CHINO?#AITOY"
632,"Borracho","Entra un borracho en una farmacia, y pregunta:#- Teneis alcohol?#- Si, por supuesto#- Entonces ponme un par de copas."
633,"¿Qué marca?","Esta es la Mari que ha ido de compras al mercadillo y le dice a su padre:#- Apá me he comprado unos 'Leggins'.#Su padre la mira y le pregunta:#- ¿Qué marca?#- ¡¡¡ TOL COÑO !!!"
634,"El placer de las mujeres","Pregunta:#¿Qué cosa mide 18 centímetros y puede hacer que una mujer grite de placer?#Respuesta:#- Un billete de 500 euros."
635,"El desesperado","Esto es un hombre que va a cobrar al banco y la cajera le pregunta:#- Muy bien.... ¿Cómo quiere el dinero?#Y el hombre responde.#- ¡¡¡¡ Con desesperación !!!!"
636,"Una neurona... Dos neuronas","¿Qué hace una neurona en la cabeza de una mujer?#-Mira la telenovela.#¿Qué hacen dos neuronas en la cabeza de una mujer?#-Comentan la telenovela."
637,"Inventos Catalanes","- Sabes cómo se invento el hilo de cobre?#- Fueron dos catalanes estirando de una peseta."
638,"Conocer la verdadera felicidad","Había una vez un hombre que dijo:#-Yo no supe lo que era la verdadera felicidad hasta que me casé.....#..... ¡¡¡y entonces fue demasiado tarde!!!"
639,"Los hombres y los rumores","¿En qué se parecen los hombres a los rumores?#- En que se corren rápido."
640,"Cinco televisores","¿Para qué los de Lepe ponen cinco televisores?#-Par ver Tele Cinco."
641,"Hombre y lavadora","¿En qué se parece un hombre a una lavadora?#- En que los dos los manejan las mujeres."
642,"Condón en la ventana","¿Por qué los de Lepe ponen un condón en la ventana?#- Para que no entre el polvo."
643,"Chistes feministas","¿Por qué los chistes feministas solo tienen dos líneas?#- Para que lo hombres puedan comprenderlos."
644,"Hombres y nubes","¿En que se parecen los hombres a las nubes?#- En que cuando desaparecen mejora el día."
645,"Madre política","- El otro día ví a tu suegra y .....#- ¡Alto ahí! se dice 'madre política'- Pero si la política es una mierda.#- Por eso mismo."
646,"Una teta y un chicle","¿En qué se parece una teta a un chicle ?#- En nada, ¡pero entretienen!"
647,"Echar el pestillo","¿Sabes por qué los de Lepe se tiran un pedo antes de salir de casa?#- Para echar el pestillo."
648,"Sietemesinos en Argentina","¿Por qué hay tantos casos de sietemesinos en Argentina?...#Porque ni sus madres son capaces de aguantarlos nueve meses."
649,"Un tigre en el coche","- ¿Por qué en Lepe llevan un tigre en el coche?#- ¿Porque es más fuerte que el gato para levantar el coche?"
650,"Llamando al banco en crisis","Riiiiiinnnngggggg.......!!!!#Riiiiiinnnngggggg.......!!!!#Nueva grabación de servicios:#-Bienvenido a su banco...#-Para español...apriete el 1...#-Para inglés apriete el 2...#-Para depósitos...apriete el 3....#-Para transferencias...apriete el 4...#-Para retiros, préstamos o saldos...#apriete el culo...porque no hay dinero..."
651,"Entre impresoras","¿Qué le dice una impresora a otra?#¿Esta hoja es tuya o es impresión mía?"
652,"Regalo de Aniversario","El marido le dice a la esposa:#¡¡¡Amorcito, en este Aniversario te voy a regalar una lámpara de Aladino...!!!#Ella le contesta:#¿¿¿Y para qué quiero yo esa porquería...???#A lo que el marido le responde:#¡¡¡PARA QUE GUARDES ESE#PUTO GENIO QUE TIENES...!!!"
653,"Uno de hijas","Dos amigos se encuentran por la calle y están hablando:#- Oye, y tus hijas ¿Qué tal? ¿Cómo se llaman?.#- La mayor Marbú y la pequeña Fontaneda. ¿Y la tuya?#- María.#- ¡Coño¡ ¡Como las galletas¡"
654,"pregunta de quimica","Maestra: Pepito, ¿como se llama el compuesto#químico para evitar el embarazo?#Pepito: Nitrato de meterlo"
655,"El colmo de los colmos","¿cual es el colmo de los colmos?#Que un Mudo le diga a un Sordo que un Ciego lo esta espiando."
656,"Nombre de la cantante","- Se abre el telón, se ve a una cantante tirada en el sofá. Le pide agua a una chica que estaba en la primera fila.#- ¿Cómo se llama la cantante?#LADY VAGA"
657,"Entre postes","Que le dice un poste a otro poste:#- Me estoy postituyendo"
658,"¿Usted cree en el más allá?","Se encuentran dos tíos y uno le dice al otro:#- ¿Usted cree en el más allá?#- Claro! Vivo en Melilla!!"
659,"Mujeres bonitas y perros finos","¿Qué tienen en común las mujeres bonitas y los perros finos?#-Que ya tienen dueño."
660,"No pasa nada","- Mamaaaaa, Mamaaaa... me he tragaaadoooo uuunnnn alltaaaaaaavooooooooozzzzzzz!#- Tranquilo hijo mío, yo me he tragado un tocadiscos y no pasa nada, no pasa nada,no pasa nada,no pasa nada…………."
661,"Cuidado con el camarero","Un hombre entra en un bar y pide una docena de gambas y una caña de cerveza.#El camarero al servírselas, en lugar de dejarlas en la mesa, se las tira y el hombre enfadado le dice:#- ¡Coño…eso también lo se hacer yo!.#y el camarero le responde….#- ¡¡¡Claro, después de verme a mi!!!"
662,"La tercera edad y nuevas teconologías","En pleno acto sexual una viejita le dice a su#marido:#–Pareces un teléfono celular!#El Viejo orgulloso dice:#- ¿Vibro mucho?#–No, al entrar al túnel se te cae la señal…"
663,"¿Quién es el muerto?","Esto es una procesión y le pregunta un señor a una señora:#-Oiga, quien es el muerto?#-Y la señora responde: Creo que el que va dentro de la caja."
664,"¿Dos y dos?","Esto es uno que le está preguntando a otro:#¿cuanto son 2 y 2?#-pues como no me des mas datos tío!!!!...."
665,"Real Madrid en Chino.","¿Cómo se dice Real Madrid en Chino?#Chin Chan Pion Lig..!!"
666,"La montaña más limpia","¿Cuál es la montaña más limpia?#El volcán. Porque echa ceniza y después LAVA."
667,"Donde está Africa","Un niño le pregunta a su padre.#- Papa! papa! África,¿donde está?#Y el padre le contesta.#- Pues no lo se hijo, pero no debe estar muy lejos, porque hay un negro en mi fábrica que viene a trabajar cada día en bicicleta....."
668,"Una larga condena","Un preso regresa a su celda después de celebrarse el juicio,y su compañero le pregunta:#- ¿Cómo te fue el juicio? ¿Cuanto te ha caído?#- Uf!!,pues me han caído 30 años.#- ¿Y que te ha dicho tu abogado?#- Pues me ha dicho que no me preocupe, que en invierno los días son más cortos."
669,"Por la tarde no trabajan?","Llega un hombre a la puerta del Ayuntamiento y le pregunta al de seguridad:#- ¿Perdone..... por la tarde no trabajan?#y el de seguridad le responde:#- No….. por la tarde no vienen, cuando no trabajan es por la mañana."
670,"Visita al doctor","- Doctor, necesito su ayuda!! quiero algo que ponga a mi marido como un toro.#El Doctor le contesta:#- Bueno....pues bájese las bragas que vamos a empezar por los cuernos!!"
671,"Como pez en el agua","Dos amigos comentan sobre sus hijos, y uno le dice al otro:#- Mi hijo, en su nuevo trabajo, se encuentra como pez en el agua.#- Y….¿Qué hace?#- Nada, nada, nada."
672,"Sacar los dientes","En la consulta del médico, aparece una señora apurada y con mucha prisa.#- Doctor…..vengo a que me saque los dientes.#- Pero señora, si usted no tiene dientes.#- Sí doctor; acabo de tragármelos"
673,"¿Vio un policía por aquí?","Un hombre para una señora por la calle y le pregunta:#- Disculpe, ¿no vio a un policía dando vueltas por aquí?#- No, no he visto a ninguno -responde la mujer.#- Perfecto!Déme su bolso, su collar, su reloj ....!!!"
674,"Lo fácil y lo difícil","Es fácil morir por una mujer, lo difícil es vivir con ella."
675,"Inventor de las facciones","¿Quién invento las fracciones?#- Enrique octavo"
676,"¿Dónde te vas de vacaciones?","Se encuentran un alemán y un catalán.#Le pregunta el catalán…#- Y tu donde te vas de vacaciones?.#Y el alemán le responde:#- Pues yo me voy a Baden-Baden' y tu?#Y el catalán le dice….#- !Ah, sí! pues yo voy a Vilanova i la Geltrú-Vilanova i la Geltrú'."
677,"Dar parte a la policía","Esto es un hombre que tiene la fea costumbre de tirar la basura todas las noches en el jardín de su vecino. Una noche el vecino lo coge ”infraganti”y le dice:#- Como continúes tirando la basura en mi jardín, voy a tener que dar parte a la policía.#- A mí me da igual, -le responde- como si quieres dársela toda, yo ya no la quiero."
678,"Cepillo para el inodoro","La esposa le pregunta a su esposo:#-Te has fijado, cariño?. He comprado un nuevo cepillo para el inodoro.#-Si, le responde el marido…….pero me sigue gustando más el papel!!!!!"
679,"Informativos T5","Joven muere atropellado por un camión cuando iba al cine... no vio el trailer"
680,"Pescado podrido","¿Cómo se dice en africano 'La abuela murió porque se comió pescado podrido?'Gamba chunga yaya tumba'"
681,"A por estiércol","Estos son dos conocidos y uno le dice al otro:#- ¿A dónde vas?#- A por estiércol para las fresas - le contesta.#- Coño!!!!, por qué no las pruebas con nata, como todo el mundo."
682,"Los Teletubbies y el Real Madrid","¿En qué se parecen los Teletubbies al Real Madrid?#En que ambos saltan al césped a hacer el ridículo!"
683,"Consejos entre mosquitos","Esto es Papá Mosquito enseñando a su hijo Mosquitín...#-Hijo, no estudies nunca para ser artista, acuérdate de que tu abuelo murió a causa de un aplauso..."
684,"Dos secretarias","Se encuentran dos secretarias y una le dice a la otra:#- El jefe es guapo….. eh!!!!#- Si.#- Y viste bien, verdad?#- Si... y deprisa."
685,"Un hombre muy depre","Esto es un hombre tan depre, tan depre, tan depre...que se muere un lunes …y va y dice:#-¡¡¡JODER!!!! ….Pues si que empiezo bien la semana!!"
686,"Dos amigos hablan de sus mujeres","Dos amigos que se encuentran por la calle:#- Ayer a mi mujer le regalé un collar y está contentísima.#- Ah! Pues yo a la mía la llevo suelta"
687,"La mejor universidad del mundo","¿Sabes cual es la mejor universidad del mundo?#- La de Deusto, porque entran siendo vascos y salen siendo médicos, abogados, economistas..."
688,"Me duele una pierna","Esto es un tío que va al medico y le dice:#- Mire doctor vengo por que hace una temporada que me duele mucho esta pierna.#- Oh... esto es cuestión de la edad! le contesta el doctor.#- Ah... pues la otra pierna tiene la misma y no me duele oiga."
689,"¿Hacia dónde vas?","Va un loco por la calle caminando muy deprisa, y se encuentra con otro loco que le pregunta:#- ¿Hacia dónde vas?#- No lo sé, le contesta, pero apúrate porque vamos a llegar tarde"
690,"Armas al hombro!!!","¡¡¡¡ AAAAAATENCIÓNN !!!! ¡¡¡ARMAS AL HOMBRO !!!#......¡¡¡NO, HOMBRE, NO, EL DEL TANQUE NO!!!"
691,"Medio kilo de carne","Entra un esqueleto en una carnicería y dice:#- Quiero medio Kilo de carne.#- Aquí lo tiene. ¿Se lo envuelvo?#- No…… me lo llevo puesto."
692,"Corrida en la tele","Maria!!!, hay una corrida en la tele.#- ¿Quieres que la cambie?#- No, que la limpies coño, que la limpies..."
693,"El reloj de pared","Una esposa le comenta a su marido:#- Antonio, el reloj de pared se ha caído…si llega a caer un segundo antes, le rompe la cabeza a mi madre.#Siempre he dicho que este reloj atrasa!!!!, responde el marido……"
694,"Ponerle gafas","A mi hijo le hemos puesto gafas.#Recórcholis!!!, que nombre mas feo!"
695,"Tirarse por la ventana","-Mamá, Mamá!!!…….que el papa se quiere tirar por la ventana.#-Dile a tu padre que le he puesto cuernos y no alas......"
696,"Mi marido está en la UVI","Esto es una que señora que se encuentra a una amiga y le dice:#- ¡¡¡ay Montserrat, que mi marido está en la UVI!!!.#- Y dice la otra: pues el mío en la REMOLACHI."
697,"El borde del barranco","Un hombre se acerca al borde de un barranco y lee:'Cuidado con el borde del barranco'Y va el borde y le empuja."
698,"Saludo entre calvos","Que le dice un calvo a otro?#- Hace tiempo que no se te ve el pelo"
699,"Embarazada de días","Esto es un amigo que le dice a otro:#- ¿Vienes a la fiesta? No puedo, le contesta, que tengo a la mujer embarazada de días.#- Bueno…..pues que venga el Díaz también!"
700,"Qué es peor?","¿Qué es peor que encontrar un gusano tras morder una manzana?#Encontrar solo medio gusano."
701,"Al abordaje","Piratas en el mar:#- ¡Abordar el barco!#- Y el barco quedó precioso…"
